Title,Company,Company_Rating,Location,Salary,Date,Description
"Ejecutivo/a Comercial de TI, sin experiencia, Home Office",ATENCION AL CLIENTE Y VENTAS,3.9,"Remoto in Tlalpan, CDMX",,EmployerActivo hace 2 días,"Identificación de Necesidad de acuerdo con el portafolio de Servicios de la empresa.
 Identificación de Objetivos y fechas para toma de decisión de proyectos."
nuevo empleoSenior Data Specialist,AT&T,3.7,"Azcapotzalco, CDMX",,Postedhace 6 días,"Create SQL queries to pull data that feed reports and dashboards.
 Support the company data strategy by migrating multiple database tables to our cloud…"
Project Manager Jr,Turing Inteligencia Artificial,,Remoto,,EmployerActivo hace 8 días,"Somos una empresa Consultora de Big Data en México, desde hace 13 años proporcionamos servicios en Business Analytics mediante Knowledge Discovery in Database …"
nuevo empleoSAP QM,SYDSA,,Remoto,,PostedRecién publicado,"Minimum of 8 years of experience in a full cycle implementation as well as in support projects.
 Minimum of 5 years designing and configuring PP modules…"
Químico Analista de Estabilidades,Pfizer,4.2,"Toluca, Méx.",,EmployerActivo hace 7 días,Disponibilidad para rolar turnos semanales (08:00 a 17:00 y 15:00 a 23:00 h) y con disponibilidad en fines de semana.
Data Engineer - He[a]t PMT,Continental,4.0,"Guadalajara, Jal.",,Postedhace 23 días,"We are looking for a person with experience to help us design and architect data processing pipelines for data modelling, transformation, analysis, and…"
Data Analyst,BYJUS FUTURE SCHOOL,,"Miguel Hidalgo, CDMX",,EmployerActivo hace 7 días,"Automatización de reportes en Google Spreadsheet.
 Edad 25 a 40 años.
 SQL, Excel, Google Sheets y Tableau.
 Python o R y Linux.
 Prestaciones de ley y superiores."
nuevo empleoHR Operations Associate,SYNITI,,Remoto,,Postedhace 1 día,"Audit, maintain, and analyze employee data in the HRIS system to keep employee data up to date and identifying opportunities for improvement."
Químico Analista,Pfizer,4.2,"Toluca, Méx.",,EmployerActivo hace 6 días,"Disponibilidad para rolar turnos (08:00 a 17:00 y 15:00 a 23:00 h) y fines de semana.
 Interesados aplicar directamente por este medio adjuntando CV en formato…"
Diseñador Jr.,ARKON DATA,,"Remoto in Guadalajara, Jal.",,Postedhace 26 días,"1 año de experiencia profesional con Photoshop, Ilustrator, In Design, deseable After effects.
 Si te interesa y cubres con el perfil, por favor *envíanos tu CV…"
nuevo empleoBackoffice (Home office),Conduent,2.7,"Remoto in Monterrey, N. L.",,Postedhace 7 días,"Performs business support or technical work, using data organizing and coordination skills.
 Performs tasks based on established procedures."
Applied Data Intelligence Intern,MSCI Inc,,"Monterrey, N. L.",,Postedhace 30+ días,"Implement Machine Learning, Natural Language Processing, statistical data modelling, outlier detection, and data analysis to improve the operational efficiency…"
nuevo empleoDigital Commercialisation,HSBC,4.0,"Cuauhtémoc, CDMX",,Postedhace 1 día,"Accountable, analytical, data-driven, dare to make judgment call and a problem solver;
 The Digital Sales and Acquisition Manager is critical to enable Digital…"
nuevo empleoDigital Commercialisation,HSBC,4.0,"Cuauhtémoc, CDMX",,Postedhace 1 día,"Accountable, analytical, data-driven, dare to make judgment call and a problem solver;
 The Digital Sales and Acquisition Manager is critical to enable Digital…"
Office Assistant,Easy Sell Today,,Remoto,,Postedhace 29 días,"Increase productivity by creating record-keeping procedures for customer data filing systems.
 You will be talking with sellers, buyers, and escrow to move…"
Analista disputas,HSBC,4.0,"Azcapotzalco, CDMX",,Postedhace 30+ días,Bancos Adquirentes: Seguimiento al proceso de recuperación y obtención de documentos relacionados con aclaraciones de Tarjetas de Crédito y Débito.
Sales Coordinator,Danone,4.2,"Colonia Santa Fe, CDMX",,Postedhace 15 días,"Responsable de análisis y bajar KPIS y data de retail de las cadenas, muy orientado a sell out y sell in con el cubo de ventas."
SEO Specialist / Data Analyst (Remoto-México),Remoteco,,Remoto,"$19,000 - $20,000 al mes",EmployerActivo hace 16 días,"Job Types: Full-time, Permanent."
Nutriólogo: Educador en Diabetes,IQVIA,3.8,"Benito Juárez, CDMX","$17,000 al mes",EmployerHace más de 30 días,"Licenciatura en Nutrición (titulo y cedula).
 Experiencia en plataformas virtuales (Teams, Zoom, Gotowebinar).
 Experiencia en manejo de CRM (deseable)."
OFFICE MANAGER,ATENCION AL CLIENTE Y VENTAS,3.9,"Cuauhtémoc, CDMX","$25,000 - $50,000 al mes",Postedhace 13 días,"This person must have at least three (3) years of office Management experience.
 Excel efficiency is a HUGE plus.
 Proven work experience at management level."
INTERN,"PRGX Global, Inc",,"11000, Colonia Lomas de Chapultepec, CDMX",,Postedhace 12 días,"Performs data entry to support Analysts.
 Supports audit operations by typing in Excel or Proprietary software the information from the client documents."
Data Science Generalist,Konfio,,"Miguel Hidalgo, CDMX",,Postedhace 15 días,"Collaborate with data engineers and ML engineer to develop automated orchestration of data implemented and model pipelines.
 Strong knowledge of Python and SQL."
Data Entry,FORTUNE FASHIONS,,"Ensenada, B.C.","$2,999 - $3,000 por semana",EmployerActivo hace 17 días,"Entering customer and account data from source documents within time limits.
 Reviewing data for deficiencies or errors, correcting any incompatibilities and…"
Logistic Support Coordinatior,ivoy,3.0,"Remoto in Azcapotzalco, CDMX",,Postedhace 8 días,"Siempre preocupados por nuestros clientes y talento.
 Te unirás a un equipo con objetivos claros, enfocados al trabajo en equipo, innovadores, creativos, humanos…"
Customer Service (Remoto-Mexico),Remoteco,,Remoto,"$15,000 - $16,000 al mes",EmployerActivo hace 3 días,"\*Type in data into Google Sheets and Excel.
 \*Answer incoming phone calls, call back clients, data entering.
 \*Schedule appointments into CRM system."
Data Engineer Software,Atcon,,"Tlalpan, CDMX","$50,000 - $60,000 al mes",EmployerActivo hace 9 días,"Un mínimo de dos años de lenguajes de programación (Python, Scala preferido) experiencia con los métodos de big data a gran escala (Spark, Hadoop stack, Cloud)."
Processor Acct Servicing and Mnt,HSBC,4.0,"Azcapotzalco, CDMX",,Postedhace 30+ días,"Es el área responsable de proveer información oportuna y confiable que sirva como base para la toma de decisiones, control y regulación de cartera, mediante la…"
Data Requirement and Analysis,HSBC,4.0,"Cuauhtémoc, CDMX",,Postedhace 22 días,"It covers sourcing of data and building structured data lakes, designing data marts, creating reports, executing campaigns, generating business insights and…"
CORPORATE LAWYER,Integral Ares de Mexico S.A de C.V,,"Benito Juárez, CDMX",,EmployerActivo hace 10 días,"Knowledge of personal data protection legislation.
 4 to 6 years of total experience.
 Drafting and review of contracts with clients and suppliers."
nuevo empleoAsesor de Inversiones Cripto - Tutor Online,Coderhouse,,"Remoto in Cuauhtémoc, CDMX",,Contratación continua,"Nuestro foco está en la educación digital y tenemos alcance mundial, dictamos cursos de desarrollo, marketing digital, diseño, data y producto."
nuevo empleoAnalytics _ Data Engineer,HQ_Talento,,"Cuajimalpa, CDMX",,PostedRecién publicado,"They should enjoy optimizing data models to industry standards.
 Somos una empresa 100% mexicana con más de 25 años de experiencia en conectar el talento con las…"
Data Analyst,Trisept Solutions,,"Cancún, QRoo.",,Postedhace 13 días,"Possess strong knowledge of data query language, data definition and data manipulation.
 Develop interactive executive dashboards, UI development, and/or BI data…"
HR Business Partner,The Clorox Company,4.0,"Tlalnepantla, Méx.",,Postedhace 30+ días,"Continuous engagement monitoring and improvement through creative activities, benchmark data and local an Sales & PSO best practice."
nuevo empleoEjecutivo de ventas,Safe Data Resources SA DE CV,4.0,"Naucalpan, Méx.+1 ubicación",,EmployerActivo hace 6 días,"Sueldo más esquema de comisiones aprox.
 Salario integrado para efecto de Aguinaldo, IMSS, PTU y plan de pensiones.
 No es proyecto ni vacante temporal."
Data and Analytics Platform Management,HSBC,4.0,"Cuauhtémoc, CDMX",,Postedhace 22 días,"It covers sourcing of data and building structured data lakes, designing data marts, creating reports, executing campaigns, generating business insights and…"
nuevo empleoGovernment Program Specialist *REMOTE*,MSC Industrial Supply Co.,,Remoto,,PostedRecién publicado,"Internal extraction of product data.
 Internal and external validation of data.
 Submission of data files through customer portal."
nuevo empleoStaff Software Engineer,BlackLine,,+1 ubicaciónRemoto,,PostedRecién publicado,"Experience with SQL, data modeling and transactional flows.
 As a Staff Engineer, you will play a crucial role in building the next generation of BlackLine…"
customer service,C.onfidencial,,"Querétaro, Qro.",,EmployerActivo hace 8 días,"Elaboración y actualización de la ficha de los clientes, master data.
 Control de precios de venta mediante la elaboración y actualización de una lista de…"
Data Engineer,International Flavors & Fragrances,3.8,"Tlalnepantla, Méx.",,Postedhace 9 días,"They will support our software developers, database architects, data analysts and data scientists on data initiatives and will ensure optimal data delivery…"
KYC Advisor,HSBC,4.0,"Azcapotzalco, CDMX",,Postedhace 14 días,"Knowledge of transactional activity of suspicious / unusual patterns of activity using various internal systems, reports, and external data sources."
Artist I,Sharecare Inc.,,Remoto,,Postedhace 30+ días,"Under supervision, and direction from Seniors, continues to learn and adapt more mid-level techniques, and workflows, while solving creative challenges to…"
nuevo empleoManager of Branded Content,VIX,,"Miguel Hidalgo, CDMX",,EmployerActivo hace 3 días,"Analyze data to generate insights from content performance and build creative pitches for sales.
 The Manager of Branded Content is charged with the development…"
nuevo empleoHuman Resources Analyst,John Deere,4.0,"San Pedro Garza García, N. L.",,Postedhace 1 día,"Gathers and compiles data to support compliance efforts such as legal requirements, Health and Safety, and other such areas."
nuevo empleoHuman Resources Analyst,John Deere,4.0,"San Pedro Garza García, N. L.",,Postedhace 1 día,"Gathers and compiles data to support compliance efforts such as legal requirements, Health and Safety, and other such areas."
Data Analytics,HSBC,4.0,"Cuauhtémoc, CDMX+1 ubicación",,Postedhace 21 días,Ability to comprehend intricate and diverse range of business problems and analyse them with limited or complex data and provide a feasible solution framework.
Legal Manager,Quinio,,"11000, Colonia Lomas de Chapultepec, CDMX",,Postedhace 24 días,"Nice to have experience and knowledge in labor law, foreign investment reporting obligations, FCPA, and data protection."
Data Analyst,CIMMYT,4.5,"Texcoco, Méx.",,Postedhace 21 días,"Run scripts to automate data input preparation, process implementation and structure output format.
 Conduct data analyses and package results tailored for both…"
nuevo empleoMarketing Analyst,Tecnologías Tul MX sociedad de responsabilidad...,,"Miguel Hidalgo, CDMX","$15,000 al mes",Postedhace 7 días,"Los gastos del área, solicitando cotizaciones y elaborando órdenes de compra.
 Licenciatura concluida en marketing, comercial, ventas, comercio internacional,…"
TRAINEE DE MARKETING DIGITAL,EPA Digital,3.2,"Miguel Hidalgo, CDMX","$7,000 al mes",EmployerActivo hace 2 días,"Apoyo en la operación de las diferentes plataformas, campañas y herramientas (supermetrics, data studio).
 TRAINEE DE CUENTAS (MARKETING DIGITAL)*."
nuevo empleoStrategy and Planning Mgmt,HSBC,4.0,"Cuauhtémoc, CDMX",,Postedhace 1 día,"Demonstrated analytical skills and able to derive business insights from data.
 The Strategy & Planning team in Mexico supports the development and execution of…"
Data Science***ETL**Data Warehouse****Ingreso Inmediato,PRAXIS IT,3.7,"Cuauhtémoc, CDMX","$40,000 - $42,000 al mes",EmployerActivo hace 10 días,"\*\*\*Data Science\*\*\*ETL\*\*\*Data Warehouse\*\*\* Inglés avanzado a nivel conversación*.
 Ciencia de datos/IA dentro o fuera del contexto de ServiceNow."
Científico de Datos - Tutor Online,Coderhouse,,"Remoto in Cuauhtémoc, CDMX+2 ubicaciones",,EmployerActivo hace 2 días,"Nuestro foco está en la educación digital y tenemos alcance mundial, dictamos cursos de desarrollo, marketing digital, diseño, data y producto."
Analista de de Marketing Digital -Paid Media - Google Ads- S...,Sube Agencia Digital,,"Miguel Hidalgo, CDMX","$25,000 - $30,000 al mes",EmployerActivo hace 8 días,"Somos una agencia innovadora, que busca romper con los esquemas de comunicación e impulsar la cultura digital.
 \*Data a través de Analytics."
"Líder de Proyecto - infraestructura, redes, data center",Cgs reclutamiento,,"Benito Juárez, CDMX","$20,000 al mes",Postedhace 30+ días,"Ingeniero industrial, eléctrico, en sistemas o afín.
 Experiencia y conocimiento en cableado y estructurado y tableros eléctricos."
Development Engineering,HSBC,4.0,"Azcapotzalco, CDMX",,Postedhace 30+ días,"Ensure high data quality exists in Service Management systems of record.
 Keep up to date and have expertise on current tools, technologies and areas like cyber…"
Senior Engineer - Infrastructure Data Center,Continental,4.0,"Querétaro, Qro.",,Postedhace 23 días,"You will have the possibility to develop and implement own ideas, work on innovative projects and technologies."
nuevo empleoCustoms Classification and FTA,Siemens,4.0,"11560, Colonia Polanco, CDMX",,Postedhace 1 día,"Collaborate with Custom Brokers in order to obtain consensus on the HTS determination, also providing technical data as required.
 Data inputs in to track base."
nuevo empleoDESARROLLADOR SQL,"AXITY MÉXICO, S.A. DE C.V",3.5,"Remoto temporalmente in Azcapotzalco, CDMX","$33,000 - $38,000 al mes",Postedhace 2 días,"Nuestro portafolio de servicios es uno de los más grandes en la industria: Estrategia Digital, Desarrollo de Software, Business Intelligence, Big Data,…"
Becario Project Management,Turing Inteligencia Artificial,,Remoto,,Postedhace 9 días,"Somos una empresa Consultora de Big Data en México, desde hace 13 años proporcionamos servicios en Business Analytics mediante Knowledge Discovery in Database …"
Data Base Developer ETL/SSIS,Integon Service Co.,4.6,Remoto,,EmployerActivo hace 14 días,"Demonstrated knowledge of data warehouse concepts (data normalization, star schema, etc.).
 Serve as a high-level technical expert in the designing, coding,…"
nuevo empleoPlant Purchaser,Continental,4.0,"Silao, Gto.",,Postedhace 5 días,Supports commercial data entry following Category Purchasing negotiations for the direct material components in use at the plant.
nuevo empleoData Analyst,Glitzi,,"Cuauhtémoc, CDMX",,Postedhace 7 días,"Extracción de información de base de datos en MySQL.
 Apoyo en la generación de reportes estadísticos, proyecciones y dashboards.
 Manejo de macros en Excel."
nuevo empleoSupport Manager,IQVIA,3.8,Remoto,,Postedhace 1 día,"Explores data the data to discover patterns, relationships, anomalies and trends.
 Develops a full understanding of all relevant medical data and the data…"
Data Engineer,amdocs,3.8,"Guadalajara, Jal.",,Postedhace 30+ días,"You will identify data sources, supervises the data collection process and crafts the data structure in collaboration with data experts (BI or big-data) and…"
nuevo empleoBusiness Analyst Trainee,IQVIA,3.8,Remoto,,Postedhace 1 día,"Responsible to reconcile SAP Grant Payment Report to Excel Grant Payment Report for assigned Sponsors’ studies, as well as reconcile the total GPS Sponsor…"
Data Analyst,AMResorts,3.8,"Cancún, QRoo.",,Postedhace 21 días,"Possess strong knowledge of data query language, data definition and data manipulation.
 Develop interactive executive dashboards, UI development, and/or BI data…"
Prácticas/Residencias Data Science,Cross Border Xpress,4.0,"Tijuana, B.C.",,EmployerActivo hace 8 días,"Cross Border Xpress ""CBX"" es el Proyecto transfronterizo más innovador y excitante que jamás se haya construido entre dos países y es un símbolo de la…"
Gerente de Marketing,Morton Subastas SA de CV. Ciudad de México,,"11000, Colonia Lomas de Chapultepec, CDMX",,EmployerActivo hace 6 días,"Dirigir al área de Diseño y administrar sus cargas de trabajo con base en actividades programadas.
 Analisis estadistico y de datos duros (Data Analytics) para…"
Data Center Tech Project Manager,Intel,4.1,"Guadalajara, Jal.",,Postedhace 30+ días,"Basic knowledge or experience on HW for data center.
 DPEA enables that data center which is the underpinning for every data-driven service, from artificial…"
nuevo empleoESTRATEGA DE INVESTIGACION CUANTITATIVA,LINTALENT HEAD HUNTER 360,,"Miguel Hidalgo, CDMX",,PostedRecién publicado,"A un apasionado(a) jugador activo en la investigación de mercados. ·.
 Participarás activamente en la estrategia y organización del área."
nuevo empleoANALISTA DE MEJORA CONTINUA Jr.,Trejo & Asociados,,"Álvaro Obregón, CDMX",,Postedhace 2 días,"Analizar y monitorear los indicadores de Calidad de las áreas de la organización, a través de la revisión de las bases operativas y exportables de plataformas…"
nuevo empleoEjecutivo Comercial TI,INTEGRADORES EN TICS S.A DE C.V,,"Cuauhtémoc, CDMX",,Postedhace 8 días,"Trabajar con metodologías comerciales y cumplimiento de cuota de ventas.}.
 Sueldo negociable a experiencia y aptitudes."
nuevo empleoData trainee - Becario de Datos,Rocket.la,4.2,"Cuauhtémoc, CDMX",,Postedhace 2 días,"Experiencia en análisis estadístico, por prácticas profesionales o trabajos escolares.
 Ingeniería en computación, Actuaría, Economía, Matemáticas, Matemáticas…"
nuevo empleoEjecutivo Comercial TI,INTEGRADORES EN TICS S.A DE C.V,,"Cuauhtémoc, CDMX",,Postedhace 8 días,"Trabajar con metodologías comerciales y cumplimiento de cuota de ventas.}.
 Sueldo negociable a experiencia y aptitudes."
nuevo empleoData trainee - Becario de Datos,Rocket.la,4.2,"Cuauhtémoc, CDMX",,Postedhace 2 días,"Experiencia en análisis estadístico, por prácticas profesionales o trabajos escolares.
 Ingeniería en computación, Actuaría, Economía, Matemáticas, Matemáticas…"
nuevo empleoMid. Data Engineer,Arcus,,Remoto,,Postedhace 4 días,"Understand all data sources and structures in order to facilitate data transformation and maintenance.
 Design, development, optimization and monitoring of a…"
nuevo empleoData & Analytics Engineer,Tech Mahindra,3.7,"Guadalajara, Jal.",,Postedhace 5 días,"Hard Skills on Azure Data factory - Integrated Runtime (SSIS).
 Azure Data warehouse (Synapse SQL).
 Languages must - TSQL (nice to have: C#/Python)."
"FP&A Coordinator, Gum & Candy",Mondelēz International,4.0,"Colonia Santa Fe, CDMX",,Postedhace 30+ días,"You will also execute data collection and data integrity checks.
 TECHNICAL EXPERTISE in financial analysis and data collection/structuring."
nuevo empleoHR Operation Analyst,Continental,4.0,"Guadalajara, Jal.",,Postedhace 7 días,"Maintains (electronic) personnel records; researches data to verify employment and salary records.
 Inputs required data into the HR system for maintaining,…"
"nuevo empleoSenior Scientist, Data Science, Modelling and Simulation, RD...",Mondelēz International,4.0,"Tlalnepantla, Méx.",,Postedhace 5 días,"Ability to use data visualization tools to showcase data for stakeholders.
 Analyze and derive value from data through the application methods such as…"
Health Coach,Sharecare Inc.,,Remoto,,Postedhace 30+ días,"Proficiency in computer data entry and Microsoft Office.
 Ability to coordinate telephonic communication with program participants while simultaneously…"
Analista de Investigación de Mercados - Cuantitativo,Atlantia Search,3.2,"Remoto in Benito Juárez, CDMX",,EmployerActivo hace 3 días,"Innovación, multi-metodología y automatización.*.
 Nos interesa los talentos dinámicos, poco convencionales y que buscan constante innovación.*."
Generación Movistar 2022 / México,Movistar (Telefónica HISPAM),,"Cuajimalpa, CDMX",,EmployerActivo hace 7 días,"Creemos que las conexiones más importantes son las humanas, por eso unimos a las personas y las invitamos a ser ellas mismas, a expresarse, a compartir."
Lid Proy Información Directiva,HSBC,4.0,"Cuauhtémoc, CDMX",,Postedhace 14 días,"Create data warehouses and big data systems which maintain enterprise data and allow queries to be run against it.
 Perform matching and linking across datasets."
Programme Management Officer,HSBC,4.0,"Azcapotzalco, CDMX",,Postedhace 21 días,"Assist in the collection of data according to standard data definitions from multiple sources and helping to identify data gaps and inconsistencies, as part of…"
Yucatán - Data Engineering ETL,Accenture,4.0,"Mérida, Yuc.",,Postedhace 14 días,"Assists with the data platform blueprint and design, encompassing the relevant data platform components.
 Collaborates with the Integration Architects and Data…"
Data Integrity and Control Engineer,Procter & Gamble,4.1,"Naucalpan, Méx.",,Postedhace 14 días,"Intermediate English proficiency (Able to read/write engineering documents such as data sheets or vendor manuals).
 Data Integrity and Control Engineer."
Intern,IQVIA,3.8,Remoto,,Postedhace 12 días,Primary responsibilities: Keeps a diligent record of all the doctors who have been interviewed in our studies and ensure they receive their corresponding…
Intern,IQVIA,3.8,Remoto,,Postedhace 12 días,Primary responsibilities: Keeps a diligent record of all the doctors who have been interviewed in our studies and ensure they receive their corresponding…
Newsroom Intern,Ballantine Communications,,"Durango, Dgo.",,Postedhace 9 días,"Research materials and fact-checking data.
 FLSA Status: Non-Exempt ($13.00/hr.).
 Our newsrooms have a deep commitment and proud tradition of community…"
nuevo empleoAccounts Payable Jr. - Remote,Gordian Staffing,,"Remoto in León, Gto.+2 ubicaciones",,EmployerActivo hace 3 días,"Receive invoices, code them, and capture expenses in the system.
 Prepare and submit payment proposals.
 Data entry to keep updated supplier contact information."
nuevo empleoData Scientist,International Flavors & Fragrances,3.8,"Colonia Polanco, CDMX",,Postedhace 6 días,The Data Scientist is responsible for analyzing the data in close collaboration with the knowledge owner and develop the decision support tools that are the…
nuevo empleoWanted Data Management Sidekick (Remoto-Mexico),Remoteco,,Remoto,"$9,000 - $10,000 al mes",Postedhace 5 días,"At least 1 year of data management experience.
 Help collate eCommerce product data into a spreadsheet (need to be completed 5-7 days upon the start of the…"
Data Scientist,PRA Health Sciences,3.5,"Cañada Verde, B.C.",,Postedhace 30+ días,"Respond to inquiries and follow up on data validations.
 Experience in handling time-series and image data.
 Thorough understanding of inpatient clinical (lab,…"
Sr. User Acquisition Manager LatAm - Remote,Hopper,,"Remoto in Guadalajara, Jal.",,Postedhace 15 días,"Collaborate with the data science, product, and engineering teams on tracking, product features and finding new user segments to target."
"nuevo empleoDirector, Data Science and Analytics *Remote*",MSC Industrial Supply Co.,,Remoto,,PostedRecién publicado,"Minimum of 10 years of progressive work experience in data analytics/data science in a fast-paced, complex environment."
Risk Analytics and Modelling,HSBC,4.0,"Cuauhtémoc, CDMX",,Postedhace 15 días,"Conduct data quality review, statistical analyses and modelling activities to monitor and validate parameters which are compliant with best practices of…"
ENGINEERING & MANUFACTURING INTERNSHIP,Procter & Gamble,4.1,"Azcapotzalco, CDMX",,Postedhace 14 días,"We set outstanding value in creativity, team work, problem solving and data analyzing skills.
 Work schedule: part-time with flexible working hours."
Docente Analítica Avanzada en ambientes de BigData (clases e...,ATENCION AL CLIENTE Y VENTAS,3.9,"Tlalpan, CDMX",$500 por hora,Postedhace 30+ días,"Experiencia: No es necesario contar con experiencia en docencia, pero si contar con experiencia y conocimientos en Conocimientos en Hadoop, Cloudera, R y…"
nuevo empleoVP CRM & Customer Data Platforms,HSBC,4.0,"Cuauhtémoc, CDMX",,Postedhace 8 días,"Ability to lead teams of data analysts and data professionals.
 5+ years of experience in data marts environments creation.
 VP CRM & Customer Data Platforms."
SCH Data Analytics Intern,Ingredion,3.7,"Guadalajara, Jal.",,Postedhace 13 días,"Support project implementation through developing tools, templates, sites, accesses, forms and any related resource needed as part of the project."
nuevo empleoSenior Quality and Data Governance Analyst (Remote/Monterrey...,S&P Global,3.9,Remoto,,Postedhace 8 días,"Facilitate the setup and maintenance of new source data receipt and enhancement.
 Managing the timing and release of all compiled data in the Data Operations…"
nuevo empleoCoordinador de Infraestructura,DESARROLLADORA RANMAN,,"Querétaro, Qro.","$28,000 - $30,000 al mes",Postedhace 7 días,"Producción en base a estaciones, sistemas constructivos, rendimientos y calidades de materiales.
 Verificar que se cumpla el programa de obra por estaciones de…"
nuevo empleoCoordinador de Infraestructura,DESARROLLADORA RANMAN,,"Querétaro, Qro.",,Postedhace 7 días,"Producción en base a estaciones, sistemas constructivos, rendimientos y calidades de materiales.
 Verificar que se cumpla el programa de obra por estaciones de…"
Operations Analyst,CertifyOS,,Remoto,,Postedhace 9 días,"CertifyOS is an API-first, UI agnostic, end-to-end provider network management platform for credentialing, monitoring, licensing, provider health plan…"
Virtual medical assistant scheduler,North American Production Sharing de México S.A....,4.0,"Remoto in Tijuana, B.C.",,EmployerActivo hace 5 días,"They also will prep charts and collect data from outside providers prior to the telehealth appointment).
 The Virtual medical assistant will call patients after…"
"Unit Manager, Surface Data Logging",Halliburton,3.9,"Cunduacán, Tab.",,Postedhace 30+ días,"Performs any other specialized tests or gather any additional data as required by the customer.
 Must possess good communication, supervisory, leadership,…"
Desarrollador Python,SPEEDFC S DE RL DE CV,,"Querétaro, Qro.",,EmployerActivo hace 2 días,"Command line programs for maintenance and data import/export operations.
 To be successful in this role, you should work well in a team and have experience with…"
Future Talent - Continuous Improvement Data Analyst,Tetra Pak,4.2,"Cuautitlán, Méx.",,Postedhace 20 días,Collect data from Portfolio development about utility consumption and perform due analysis and prediction data on how to improve our portfolio.
Data analyst with coding abilities,Luxoft,4.4,Remoto,,Postedhace 28 días,"Understand the market and other data that supplies the data pipeline.
 Experience with market data and financial services."
